"""p.uID""","""p.isManager""","""p.managerID""","""p.departmanName""","""p.ustdepartmanName""","""DegreeCentrality"""
1178,true,3098,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,343
1204,true,3104,"""On-Net A.Ş""","""Biggplus Grup""",125
1164,true,3098,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,108
1185,true,3151,"""Biggplus Grup""","""""",96
1183,true,3098,"""On-Net A.Ş""","""Biggplus Grup""",96
1316,true,3098,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,96
1184,true,3097,"""Biggplus Grup""","""""",92
1170,true,3136,"""IT Departmanı ""","""Aristo A.Ş""",87
40,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",85
1229,true,3085,"""Biggplus Grup""","""""",80
1223,true,3164,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,69
1258,true,3098,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",66
1298,true,3098,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",60
1179,true,3098,"""Tasarım Departmanı""","""Aristo A.Ş""",59
1176,true,3098,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,51
1182,true,3098,"""B2C Departmanı""","""Aristo A.Ş""",50
1103,false,3119,"""Tasarım Departmanı""","""Aristo A.Ş""",42
1202,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",39
1260,true,3137,"""IT Departmanı ""","""Aristo A.Ş""",37
1172,false,3144,"""IT Departmanı ""","""Aristo A.Ş""",35
1241,false,3119,"""Tasarım Departmanı""","""Aristo A.Ş""",34
1175,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",33
1186,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",31
1098,true,3098,"""Biggplus Grup""","""""",30
1166,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,30
1163,false,3109,"""satış""","""On-Net A.Ş""",30
1217,true,3195,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,28
1188,true,3154,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",28
1149,true,3182,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,28
1156,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,26
1225,true,3220,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",26
1174,true,3113,"""B2C Departmanı""","""Aristo A.Ş""",26
1262,false,3098,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,26
1272,true,3104,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",26
1270,false,3164,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,24
1266,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",24
1490,true,3098,"""IT Departmanı ""","""Aristo A.Ş""",24
1438,true,3098,"""B2C Departmanı""","""Aristo A.Ş""",23
1221,false,3177,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,23
1201,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",23
1244,true,3200,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,22
1326,true,3098,"""B2C Departmanı""","""Aristo A.Ş""",21
1220,false,3177,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,21
1219,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,21
1150,false,3182,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,20
1167,true,3137,"""IT Departmanı ""","""Aristo A.Ş""",20
1173,true,3302,"""IT Departmanı ""","""Aristo A.Ş""",20
1252,false,3213,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,19
1251,true,3192,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,19
1256,false,3151,"""Biggplus Grup""","""""",18
1212,true,3205,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,18
1278,false,3177,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,18
1152,true,3182,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,18
1168,false,3221,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",18
1268,true,3153,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",18
1151,true,3182,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,18
1245,true,3205,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,17
1250,false,3213,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,17
1213,true,3192,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,17
1257,true,3200,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,17
1253,false,3196,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,17
1248,false,3206,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,16
1235,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,16
1218,false,3205,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,16
1255,false,3196,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,16
1214,false,3209,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,16
1242,false,3194,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,15
1243,false,3196,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,15
1162,true,3109,"""satış""","""On-Net A.Ş""",15
1154,false,3104,"""On-Net A.Ş""","""Biggplus Grup""",15
1246,true,3193,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,15
1216,false,3198,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,15
1296,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",14
1155,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,14
1215,true,3194,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,14
1288,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,13
1224,false,3151,"""Biggplus Grup""","""""",13
1171,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",13
1276,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",13
1319,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",12
1264,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,12
1263,false,3185,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,12
1226,false,3229,"""Galata-1 Mağazası""","""BTM Mağazalar""",12
1205,false,3147,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",12
1187,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",12
1430,true,3154,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",12
1249,true,3200,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,11
1180,true,3098,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",10
1417,false,3119,"""Tasarım Departmanı""","""Aristo A.Ş""",10
1467,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",10
1247,true,3194,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,10
1240,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",9
1267,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",9
1324,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",9
1317,true,3295,"""satış""","""On-Net A.Ş""",9
1269,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,8
1254,false,3213,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,8
1200,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",8
1479,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",8
1282,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",8
1437,true,3137,"""IT Departmanı ""","""Aristo A.Ş""",7
1238,false,3119,"""Tasarım Departmanı""","""Aristo A.Ş""",7
1401,true,3104,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",7
1239,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",7
1227,true,3225,"""Galata-1 Mağazası""","""BTM Mağazalar""",6
1320,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",6
1169,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,6
1414,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",5
1497,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",5
1275,false,3098,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",5
1450,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",4
1203,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",4
1286,false,3236,"""Özdilek Mağazası""","""BTM Mağazalar""",4
1177,true,3295,"""satış""","""On-Net A.Ş""",4
1448,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",4
1273,false,3147,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",4
1285,false,3236,"""Özdilek Mağazası""","""BTM Mağazalar""",4
1459,false,3202,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,4
1458,true,3194,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,3
1377,false,3142,"""IT Departmanı ""","""Aristo A.Ş""",3
1457,true,3194,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,3
1289,false,3221,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",3
1491,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",3
1489,false,3221,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",3
1265,false,3111,"""satış""","""On-Net A.Ş""",3
1466,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",3
1475,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,2
1321,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,2
1436,false,3105,"""On-Net A.Ş""","""Biggplus Grup""",2
1271,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,2
1511,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",2
1468,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,2
1313,true,3225,"""Galata-1 Mağazası""","""BTM Mağazalar""",2
1492,false,3147,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",2
1512,true,3104,"""satış""","""On-Net A.Ş""",2
1452,false,3109,"""satış""","""On-Net A.Ş""",1
2522,false,3172,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,1
1504,false,3137,"""IT Departmanı ""","""Aristo A.Ş""",1
1330,false,3151,"""Biggplus Grup""","""""",1
1416,true,3098,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,1
1499,true,3194,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,1
1451,true,3137,"""IT Departmanı ""","""Aristo A.Ş""",1
1514,true,3098,"""On-Net A.Ş""","""Biggplus Grup""",1
1310,false,3220,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",1
1431,false,3157,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",1
1519,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,1
1508,false,3114,"""B2C Departmanı""","""Aristo A.Ş""",1
1378,false,3098,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,1
1456,true,3137,"""IT Departmanı ""","""Aristo A.Ş""",1
2524,false,3165,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,1
1505,false,3119,"""Tasarım Departmanı""","""Aristo A.Ş""",1
1327,false,3221,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",1
1500,false,3220,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",1
1287,false,3147,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",1
1501,true,3154,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",1